mA,ma,mchi,sintheta,tanbeta,xsec
350,150,1,0.7,40,0.4202843
400,150,1,0.7,40,0.3964444
450,150,1,0.7,40,0.3521594
500,150,1,0.7,40,0.3538855
550,150,1,0.7,40,0.351669
700,150,1,0.7,40,0.3495622
1000,150,1,0.7,40,0.3549292
1300,150,1,0.7,40,0.357551
1500,150,1,0.7,40,0.3510837
1700,150,1,0.7,40,0.3567216
1950,150,1,0.7,40,0.3611292
10,150,1,0.7,45,1.258225
50,150,1,0.7,45,0.874333
100,150,1,0.7,45,0.6603237
150,150,1,0.7,45,4.94324E-05
200,150,1,0.7,45,0.5947476
250,150,1,0.7,45,0.5149625
300,150,1,0.7,45,0.4496323
350,150,1,0.7,45,0.4514983
400,150,1,0.7,45,0.4211883
450,150,1,0.7,45,0.3816656
500,150,1,0.7,45,0.389115
550,150,1,0.7,45,0.3735832
700,150,1,0.7,45,0.3780757
1000,150,1,0.7,45,0.3719593
1300,150,1,0.7,45,0.3899789
1500,150,1,0.7,45,0.3846471
1700,150,1,0.7,45,0.3759077
1950,150,1,0.7,45,0.3632048
10,150,1,0.7,50,1.347072
50,150,1,0.7,50,0.9260434
100,150,1,0.7,50,0.6679149
150,150,1,0.7,50,7.62141E-05
200,150,1,0.7,50,0.6214327
250,150,1,0.7,50,0.5345353
300,150,1,0.7,50,0.4669894
350,150,1,0.7,50,0.4795825
400,150,1,0.7,50,0.4454942
450,150,1,0.7,50,0.4062974
500,150,1,0.7,50,0.3873045
550,150,1,0.7,50,0.4144717
700,150,1,0.7,50,0.4110019
1000,150,1,0.7,50,0.4020072
1300,150,1,0.7,50,0.4025715
1500,150,1,0.7,50,0.3966755
1700,150,1,0.7,50,0.4027587
1950,150,1,0.7,50,0.4033384
